rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,location,aliases,subjects_offered,closed,unaccredited,Year,
351,350-400,University of Paris North – Paris 13,-,360,13.4,394,59.9,151,24.2,368,11.8,386,39.4,296,France,University of Paris North – Paris 13,,FALSE,FALSE,2012,
351,350-400,Deakin University,-,227,17.7,365,56.3,169,27.9,320,16.8,332,26.2,358,Australia,Deakin University,"Law,Medicine & Dentistry,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Architecture,Languages, Literature & Linguistics,Civil Engineering,Sport Science,Business & Management,Economics & Econometrics,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Geography,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Education,Chemistry,Other Health,Computer Science",FALSE,FALSE,2012,
351,350-400,University of South Australia,-,364,20.6,337,81.8,51,87.7,35,18,318,19.4,386,Australia,University of South Australia,"Education,Communication & Media Studies,Architecture,Computer Science,Biological Sciences,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Law,Other Health,Sport Science,Accounting & Finance,General Engineering,Sociology,Art, Performing Arts & Design,Economics & Econometrics,Mathematics & Statistics,Civil Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering",FALSE,FALSE,2012,
351,350-400,Harbin Institute of Technology,-,234,29,240,21,371,97.2,25,12.5,377,21,380,China,Harbin Institute of Technology,"Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Chemistry,Law,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,Accounting & Finance,Computer Science,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Civil Engineering",FALSE,FALSE,2012,
351,350-400,Universitat Politècnica de Catalunya,-,281,23,317,42,238,44.6,131,12.5,379,23.3,372,Spain,Universitat Politècnica de Catalunya,"Electrical & Electronic Engineering,Other Health,Chemical Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Architecture,Agriculture & Forestry,Civil Engineering,Mathematics & Statistics,Computer Science",FALSE,FALSE,2012,
351,350-400,Flinders University,-,229,18.2,358,59.9,149,36.2,207,19.1,300,20.3,382,Australia,Flinders University,"Psychology,Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,Agriculture & Forestry,Law,Electrical & Electronic Engineering,General Engineering,Economics & Econometrics,Sociology,Languages, Literature & Linguistics,Biological Sciences,Archaeology,Sport Science,Computer Science,Education,Communication & Media Studies,Business & Management,Physics & Astronomy,Geography,Other Health,Chemistry,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Civil Engineering,History, Philosophy & Theology",FALSE,FALSE,2012,
351,350-400,Swansea University,-,299,17.6,367,63.3,139,28.8,309,18.1,317,25.6,360,United Kingdom,Swansea University,"Medicine & Dentistry,Chemistry,Biological Sciences,Education,Mechanical & Aerospace Engineering,Economics & Econometrics,Mathematics & Statistics,Accounting & Finance,Physics & Astronomy,Law,History, Philosophy & Theology,Computer Science,Sport Science,Sociology,Chemical Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,General Engineering,Psychology,Civil Engineering,Geography",FALSE,FALSE,2012,
351,350-400,Hiroshima University,-,236,27.7,263,18.8,382,39.4,177,16.3,336,20.1,384,Japan,Hiroshima University,"Archaeology,Medicine & Dentistry,Other Health,Agriculture & Forestry,Mathematics & Statistics,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Psychology,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,General Engineering,Communication & Media Studies,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,History, Philosophy & Theology,Education,Veterinary Science,Languages, Literature & Linguistics,Biological Sciences,Sociology,Electrical & Electronic Engineering,Geography,Chemistry",FALSE,FALSE,2012,
351,350-400,Polytechnic University of Turin,-,283,19.3,348,32.4,288,67.6,65,12.1,385,29.1,348,Italy,Polytechnic University of Turin,"General Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Architecture,Physics & Astronomy,Civil Engineering,Computer Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Chemical Engineering",FALSE,FALSE,2012,
351,350-400,Massey University,-,261,17.4,370,77.8,67,-,382,17.2,329,24.5,365,New Zealand,Massey University,"Psychology,Physics & Astronomy,Accounting & Finance,Sport Science,Archaeology,Architecture,Education,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Art, Performing Arts & Design,Computer Science,General Engineering,Other Health,Mechanical & Aerospace Engineering,Sociology,Politics & International Studies (incl Development Studies),Business & Management,Veterinary Science,Agriculture & Forestry,Mathematics & Statistics,Geography",FALSE,FALSE,2012,
351,350-400,University of Idaho,-,341,29.4,236,27.4,318,25.5,353,16.2,340,24,368,United States,University of Idaho,"Medicine & Dentistry,Veterinary Science,Art, Performing Arts & Design,General Engineering,Chemistry,Politics & International Studies (incl Development Studies),Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Sociology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Archaeology,Accounting & Finance,Agriculture & Forestry,Psychology,Business & Management,Law,Communication & Media Studies,Computer Science,Biological Sciences",FALSE,FALSE,2012,
351,350-400,Polytechnic University of Valencia,-,284,19.6,346,23.6,354,36.6,201,9.8,396,45.3,260,Spain,Polytechnic University of Valencia,"Other Health,Geography,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Civil Engineering,History, Philosophy & Theology,General Engineering,Business & Management,Electrical & Electronic Engineering,Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Computer Science,Architecture,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2012,
351,350-400,Wuhan University,-,398,31.3,222,21.7,367,66.7,67,12.9,375,25.3,362,China,Wuhan University,"Law,Psychology,History, Philosophy & Theology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Geography,General Engineering,Education,Physics & Astronomy,Mathematics & Statistics,Electrical & Electronic Engineering,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Veterinary Science,Economics & Econometrics,Civil Engineering,Architecture,Archaeology,Other Health,Chemical Engineering,Mechanical & Aerospace Engineering,Business & Management,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sociology",FALSE,FALSE,2012,
351,350-400,Kansas State University,-,244,20.9,331,23.6,353,36,209,13.8,368,33.9,330,United States,Kansas State University,"Agriculture & Forestry,Economics & Econometrics,Mathematics & Statistics,Chemical Engineering,Sociology,Biological Sciences,Computer Science,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Geography,Psychology,Sport Science,Veterinary Science,Chemistry,Languages, Literature & Linguistics,Architecture,General Engineering,Physics & Astronomy,Education,Politics & International Studies (incl Development Studies),Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Law,Other Health,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2012,
351,350-400,Pontificia Universidad Católica de Chile,-,285,17.1,375,45.5,226,29.7,294,16.3,337,30.1,344,Chile,Pontificia Universidad Católica de Chile,"Sociology,Geography,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,History, Philosophy & Theology,Education,Veterinary Science,Business & Management,Chemical Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Other Health,Chemistry,Languages, Literature & Linguistics,Computer Science,Law,Architecture,Civil Engineering,Archaeology,General Engineering,Sport Science,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2012,
351,350-400,Kobe University,-,248,28.3,253,18.1,387,33.5,244,15.5,352,24.3,366,Japan,Kobe University,"Education,Mechanical & Aerospace Engineering,Civil Engineering,History, Philosophy & Theology,Chemistry,Medicine & Dentistry,Physics & Astronomy,Law,Business & Management,Architecture,Computer Science,Sport Science,Art, Performing Arts & Design,Communication & Media Studies,Agriculture & Forestry,Accounting & Finance,General Engineering,Economics & Econometrics,Psychology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemical Engineering,Other Health,Geography,Sociology,Biological Sciences",FALSE,FALSE,2012,
351,350-400,Saint Petersburg State University,-,289,37.6,164,38.1,257,26,347,19.7,295,3.1,402,Russian Federation,Saint Petersburg State University,"Law,Chemical Engineering,History, Philosophy & Theology,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Archaeology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Sociology,Computer Science,Chemistry,Physics & Astronomy,Geography,Languages, Literature & Linguistics,Sport Science,Psychology,Art, Performing Arts & Design,Business & Management,Biological Sciences,Mathematics & Statistics,Communication & Media Studies,General Engineering",FALSE,FALSE,2012,
351,350-400,Liverpool John Moores University,-,256,12.3,399,52.6,185,26.9,336,9.3,398,48.4,246,United Kingdom,Liverpool John Moores University,"Sport Science,Art, Performing Arts & Design,Education,Civil Engineering,Electrical & Electronic Engineering,Other Health,Architecture,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Veterinary Science,Sociology,Computer Science,Accounting & Finance,Business & Management,Geography,Mechanical & Aerospace Engineering,Psychology,Chemistry,Languages, Literature & Linguistics,Physics & Astronomy,Law,Mathematics & Statistics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),General Engineering,Communication & Media Studies",FALSE,FALSE,2012,
351,350-400,University of Salento,-,363,26.5,275,24.4,348,73.1,57,19.1,301,27.2,354,Italy,University of Salento,"Civil Engineering,Geography,Medicine & Dentistry,Politics & International Studies (incl Development Studies),General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Business & Management,History, Philosophy & Theology,Agriculture & Forestry,Sport Science,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Communication & Media Studies,Languages, Literature & Linguistics,Law,Physics & Astronomy,Sociology,Biological Sciences,Mechanical & Aerospace Engineering,Archaeology,Psychology",FALSE,FALSE,2012,
351,350-400,Loughborough University,-,258,27.9,260,66.7,119,39.4,178,25.7,240,9.2,400,United Kingdom,Loughborough University,"Art, Performing Arts & Design,Chemical Engineering,Accounting & Finance,General Engineering,Sociology,Geography,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Psychology,Medicine & Dentistry,History, Philosophy & Theology,Sport Science,Other Health,Biological Sciences,Communication & Media Studies,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Architecture,Mathematics & Statistics,Chemistry",FALSE,FALSE,2012,
351,350-400,University of Strathclyde,-,370,24.4,302,63,140,33.1,249,17.7,323,19.3,388,United Kingdom,University of Strathclyde,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Civil Engineering,Law,Mathematics & Statistics,Mechanical & Aerospace Engineering,Other Health,Chemistry,Chemical Engineering,History, Philosophy & Theology,Sport Science,Psychology,Sociology,Agriculture & Forestry,Art, Performing Arts & Design,Architecture,Geography,Education,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Biological Sciences,Computer Science,Accounting & Finance,Communication & Media Studies,Business & Management",FALSE,FALSE,2012,
351,350-400,Mahidol University,-,260,29.9,233,45,229,29,305,14.7,356,20.9,381,Thailand,Mahidol University,"Mathematics & Statistics,Education,Geology, Environmental, Earth & Marine Sciences,Chemistry,Electrical & Electronic Engineering,Medicine & Dentistry,Other Health,Sociology,Economics & Econometrics,Physics & Astronomy,Civil Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Biological Sciences,General Engineering,Sport Science,Communication & Media Studies,Computer Science,Geography,History, Philosophy & Theology,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Art, Performing Arts & Design,Psychology,Mechanical & Aerospace Engineering",FALSE,FALSE,2012,
351,350-400,Swinburne University of Technology,-,301,15.5,388,64.6,132,40.3,171,11.3,388,35.6,319,Australia,Swinburne University of Technology,"Electrical & Electronic Engineering,History, Philosophy & Theology,Economics & Econometrics,Sociology,Law,General Engineering,Computer Science,Business & Management,Art, Performing Arts & Design,Accounting & Finance,Education,Physics & Astronomy,Biological Sciences,Communication & Media Studies,Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemistry,Civil Engineering,Other Health,Agriculture & Forestry,Psychology,Chemical Engineering,Politics & International Studies (incl Development Studies),Sport Science,Architecture,Languages, Literature & Linguistics",FALSE,FALSE,2012,
351,350-400,Aston University,-,205,16.2,382,84.5,42,26.8,337,19.9,292,11.7,397,United Kingdom,Aston University,"Chemical Engineering,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Biological Sciences,General Engineering,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Computer Science,Law,Business & Management",FALSE,FALSE,2012,
351,350-400,Michigan Technological University,-,262,21.2,329,32.3,290,41.9,151,13.8,369,24.8,364,United States,Michigan Technological University,"Accounting & Finance,Agriculture & Forestry,Archaeology,Architecture,Art, Performing Arts & Design,Biological Sciences,Business & Management,Chemical Engineering,Chemistry,Civil Engineering,Communication & Media Studies,Computer Science,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Mathematics & Statistics,Mechanical & Aerospace Engineering,Other Health,Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Sociology,Sport Science",FALSE,FALSE,2012,
351,350-400,University of Tartu,-,373,17.8,364,42,240,26.3,345,17.8,321,34.4,327,Estonia,University of Tartu,"Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Law,Geography,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Biological Sciences,Sociology,Education,Communication & Media Studies,Economics & Econometrics,Psychology,Computer Science,Physics & Astronomy,Business & Management,Chemistry,Archaeology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Sport Science",FALSE,FALSE,2012,
351,350-400,Auburn University,-,206,33.7,199,22.5,363,47.3,121,18.7,307,10.3,399,United States,Auburn University,"Business & Management,Biological Sciences,Other Health,Education,History, Philosophy & Theology,Sport Science,Communication & Media Studies,Electrical & Electronic Engineering,Veterinary Science,Chemical Engineering,Art, Performing Arts & Design,Economics & Econometrics,Chemistry,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),General Engineering,Physics & Astronomy,Geography,Agriculture & Forestry,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Sociology,Architecture,Medicine & Dentistry,Law,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science",FALSE,FALSE,2012,
351,350-400,National Central University,-,267,24.7,296,22.2,364,78.6,48,21.4,279,27.1,356,Taiwan,National Central University,"Medicine & Dentistry,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,Politics & International Studies (incl Development Studies),Veterinary Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Chemical Engineering,Architecture,Agriculture & Forestry,Communication & Media Studies,Business & Management,Psychology,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Education,Geography,Chemistry,Economics & Econometrics,Archaeology,Accounting & Finance,Sociology,Mathematics & Statistics,Computer Science,Other Health,Law",FALSE,FALSE,2012,
351,350-400,Tokyo University of Agriculture and Technology,-,306,26.5,273,18,389,41.5,157,15.8,347,21.7,378,Japan,Tokyo University of Agriculture and Technology,"Chemistry,Sport Science,Geography,Veterinary Science,Agriculture & Forestry,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Communication & Media Studies",FALSE,FALSE,2012,
351,350-400,Griffith University,-,233,15.7,386,79,64,30.7,285,16.2,338,20.3,383,Australia,Griffith University,"Physics & Astronomy,Chemistry,Architecture,Archaeology,Mathematics & Statistics,Civil Engineering,Psychology,Education,Business & Management,Computer Science,Law,Electrical & Electronic Engineering,Sociology,General Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Geography,Medicine & Dentistry,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Other Health,Sport Science,History, Philosophy & Theology,Agriculture & Forestry,Accounting & Finance,Mechanical & Aerospace Engineering,Economics & Econometrics",FALSE,FALSE,2012,
351,350-400,University of Bari Aldo Moro,-,320,23.1,315,30.5,301,30.6,287,17.4,325,35.1,323,Italy,University of Bari Aldo Moro,"Business & Management,Veterinary Science,Communication & Media Studies,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Agriculture & Forestry,Economics & Econometrics,Law,Other Health,Physics & Astronomy,Medicine & Dentistry,Psychology,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Sport Science,Education,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemistry,Sociology",FALSE,FALSE,2012,
351,350-400,Maynooth University,-,274,22.9,318,74.8,80,27.1,333,18.6,310,22.1,376,Ireland,Maynooth University,"Geology, Environmental, Earth & Marine Sciences,Education,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Biological Sciences,General Engineering,Sociology,Computer Science,Mathematics & Statistics,Accounting & Finance,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Law,Business & Management,Physics & Astronomy,Geography,Psychology,Chemistry,Electrical & Electronic Engineering",FALSE,FALSE,2012,
351,350-400,University of Turku,-,381,20.4,338,41.4,242,32.3,263,21.5,275,28.9,349,Finland,University of Turku,"Accounting & Finance,Other Health,Mathematics & Statistics,Computer Science,Communication & Media Studies,Archaeology,Law,Chemical Engineering,Business & Management,Education,Geography,Languages, Literature & Linguistics,Biological Sciences,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Chemistry,Medicine & Dentistry,Physics & Astronomy,Psychology,Civil Engineering",FALSE,FALSE,2012,
351,350-400,Heriot-Watt University,-,235,21.5,326,82.6,45,41.1,160,16.2,339,18.8,391,United Kingdom,Heriot-Watt University,"Architecture,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics,Sport Science,Psychology,Business & Management,General Engineering,Languages, Literature & Linguistics,Biological Sciences,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Physics & Astronomy",FALSE,FALSE,2012,
1,1,California Institute of Technology,95.5,1,96.3,1,59.8,145,95.6,29,99.4,1,99.7,6,United States,California Institute of Technology caltech,"Languages, Literature & Linguistics,Economics & Econometrics,Civil Engineering,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemical Engineering,Business & Management,Biological Sciences,History, Philosophy & Theology,Chemistry,Mechanical & Aerospace Engineering",FALSE,FALSE,2013,
2,2,Stanford University,93.7,2,95,2,56.6,170,62.4,88,98.8,4,99.3,8,United States,Stanford University,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",FALSE,FALSE,2013,
2,2,University of Oxford,93.7,3,89.7,9,88.7,13,79.8,46,98.1,6,95.6,23,United Kingdom,University of Oxford,"Accounting & Finance,General Engineering,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Education,Civil Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Business & Management,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Computer Science,Chemistry,Chemical Engineering,Psychology,Archaeology,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2013,
4,4,Harvard University,93.6,4,94.9,3,63.7,128,39.9,212,98.6,5,99.2,10,United States,Harvard University,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",FALSE,FALSE,2013,
5,5,Massachusetts Institute of Technology,93.1,5,92.9,5,81.6,46,92.9,32,89.2,18,99.9,3,United States,Massachusetts Institute of Technology,"Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,History, Philosophy & Theology,Other Health,General Engineering,Biological Sciences,Computer Science,Architecture,Geology, Environmental, Earth & Marine Sciences,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Business & Management,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Civil Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies)",FALSE,FALSE,2013,
6,6,Princeton University,92.7,6,89.5,11,54.5,184,79.5,48,99.4,2,99.8,5,United States,Princeton University,"Languages, Literature & Linguistics,Biological Sciences,Other Health,Psychology,Sociology,Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Architecture,Agriculture & Forestry,General Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2013,
7,7,University of Cambridge,92.6,7,91.2,6,83.6,37,59.1,95,95.6,7,96.2,19,United Kingdom,University of Cambridge,"Business & Management,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Education,Chemistry,Architecture,Other Health,Veterinary Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Accounting & Finance,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Mathematics & Statistics",FALSE,FALSE,2013,
8,8,Imperial College London,90.6,8,88,12,91.4,6,87.5,34,90.9,14,93,35,United Kingdom,Imperial College London,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",FALSE,FALSE,2013,
9,9,"University of California, Berkeley",90.5,9,85.1,15,49.7,215,65.4,78,99.3,3,99.3,9,United States,"University of California, Berkeley","Communication & Media Studies,Education,Civil Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,History, Philosophy & Theology,Agriculture & Forestry,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Chemical Engineering,Business & Management,Archaeology,Law,Physics & Astronomy,Politics & International Studies (incl Development Studies),Architecture,Biological Sciences,Sociology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemistry,General Engineering,Other Health",FALSE,FALSE,2013,
10,10,The University of Chicago,90.4,10,89.6,10,55.3,178,-,387,92.9,9,98.7,12,United States,The University of Chicago,"Business & Management,Physics & Astronomy,Economics & Econometrics,Psychology,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,Archaeology,Computer Science,Art, Performing Arts & Design,Geography,Biological Sciences,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mathematics & Statistics,Medicine & Dentistry,Chemistry",FALSE,FALSE,2013,
11,11,Yale University,89.2,11,93.2,4,54.7,183,38.2,241,92.5,11,94.8,29,United States,Yale University,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",FALSE,FALSE,2013,
12,12,ETH Zurich,87.8,12,82.5,17,95.7,2,-,372,92.7,10,86.6,63,Switzerland,ETH Zurich,"Mathematics & Statistics,Mechanical & Aerospace Engineering,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Civil Engineering,Agriculture & Forestry,Medicine & Dentistry,Other Health,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Architecture,Education,Chemistry",FALSE,FALSE,2013,
