name,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,record_type,member_level,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,subjects_offered,closed,unaccredited,overall_score
National Cheng Kung University (NCKU),35.4,39.2,47.2,100,40.8,master_account,11,Taiwan,"20,971",15.9,11%,37 : 63,"Computer Science,Mechanical & Aerospace Engineering,Architecture,Other Health,Sport Science,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Education,History, Philosophy & Theology,Biological Sciences,Psychology,Art, Performing Arts & Design,Chemistry,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Archaeology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Civil Engineering,Chemical Engineering,Accounting & Finance",FALSE,FALSE,41.9–45.3
National and Kapodistrian University of Athens,22.6,23.9,77.3,89.8,56.6,master_account,0,Greece,"67,934",34,11%,59:41:00,"Biological Sciences,Business & Management,Education,Agriculture & Forestry,Languages, Literature & Linguistics,Architecture,Psychology,Physics & Astronomy,Geography,Medicine & Dentistry,Law,History, Philosophy & Theology,Communication & Media Studies,Sport Science,Archaeology,Veterinary Science,Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Other Health,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Mathematics & Statistics",FALSE,FALSE,41.9–45.3
National Taiwan Normal University,35,32,51.4,92.7,50.4,master_account,11,Taiwan,"10,878",12.3,12%,,"Computer Science,Geography,Biological Sciences,Business & Management,Education,Mechanical & Aerospace Engineering,Psychology,Art, Performing Arts & Design,Sport Science,Chemistry,Communication & Media Studies,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Other Health,History, Philosophy & Theology,Sociology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,41.9–45.3
National Yunlin University of Science and Technology,20.5,27.3,74.6,69.1,43.2,master_account,0,Taiwan,"9,151",21.5,6%,43:57:00,"Art, Performing Arts & Design,Law,Sport Science,Computer Science,Business & Management,Architecture,Accounting & Finance,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Education,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering",FALSE,FALSE,41.9–45.3
Nazarbayev University,25.4,29.5,65.9,40.4,74.3,master_account,11,Kazakhstan,"5,847",13.9,3%,52:48:00,"Electrical & Electronic Engineering,History, Philosophy & Theology,Biological Sciences,Education,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Computer Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Other Health,Business & Management,Economics & Econometrics,Chemistry,Communication & Media Studies,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Civil Engineering",FALSE,FALSE,41.9–45.3
University of Nebraska Medical Center,36.9,16.4,77.8,66.1,41.3,master_account,0,United States,"3,318",2,7%,71:29:00,"Psychology,Other Health,Medicine & Dentistry,Education,Biological Sciences",FALSE,FALSE,41.9–45.3
University of Nicosia,22.6,21,76.1,26.3,91.2,master_account,11,Cyprus,"4,754",13,54%,53:47:00,"Architecture,Psychology,Art, Performing Arts & Design,Law,Veterinary Science,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Sport Science,Economics & Econometrics,Communication & Media Studies,Civil Engineering,Computer Science,Sociology,Medicine & Dentistry,Education,Other Health,Business & Management,Biological Sciences,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,History, Philosophy & Theology,Accounting & Finance",FALSE,FALSE,41.9–45.3
Northumbria University,21.5,22.7,75.8,40.4,90,master_account,0,United Kingdom,"23,815",16.1,22%,54:46:00,"History, Philosophy & Theology,Other Health,Languages, Literature & Linguistics,Law,Art, Performing Arts & Design,Sport Science,Mathematics & Statistics,Psychology,Politics & International Studies (incl Development Studies),Business & Management,Chemistry,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Computer Science,Sociology,Chemical Engineering,Economics & Econometrics,Geography,Civil Engineering,Architecture,Biological Sciences,Medicine & Dentistry,General Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",FALSE,FALSE,41.9–45.3
Nottingham Trent University,20.7,14.3,84.6,37.3,88.5,master_account,0,United Kingdom,"32,545",15.4,21%,55:45:00,"Electrical & Electronic Engineering,Chemistry,Architecture,Mathematics & Statistics,Psychology,Other Health,Physics & Astronomy,Education,History, Philosophy & Theology,Biological Sciences,Geography,Accounting & Finance,Computer Science,Sport Science,Business & Management,Art, Performing Arts & Design,Civil Engineering,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,General Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Law,Economics & Econometrics,Languages, Literature & Linguistics,Veterinary Science,Politics & International Studies (incl Development Studies)",FALSE,FALSE,41.9–45.3
NOVA University of Lisbon,29.5,33.7,61.5,71.5,62,master_account,0,Portugal,"22,140",17.8,20%,51:49:00,"Computer Science,Other Health,Economics & Econometrics,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Physics & Astronomy,Archaeology,Business & Management,Law,Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Civil Engineering,Geography,Chemistry,Mathematics & Statistics,Communication & Media Studies,Education,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Medicine & Dentistry",FALSE,FALSE,41.9–45.3
Polytechnic University of Bari,23,27.6,76.9,59.9,42.5,master_account,0,Italy,"10,460",43,1%,29 : 71,"General Engineering,Electrical & Electronic Engineering,Architecture,Computer Science,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering",FALSE,FALSE,41.9–45.3
University of Pretoria,31.2,34.3,56.7,69.9,61.4,master_account,0,South Africa,"37,315",22.1,6%,59:41:00,"Business & Management,Other Health,Accounting & Finance,Agriculture & Forestry,Education,Medicine & Dentistry,History, Philosophy & Theology,Art, Performing Arts & Design,Law,Veterinary Science,Economics & Econometrics,Mathematics & Statistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemistry,Mechanical & Aerospace Engineering,General Engineering,Psychology,Chemical Engineering,Computer Science,Geography,Sociology,Physics & Astronomy,Biological Sciences,Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),Sport Science,Architecture,Languages, Literature & Linguistics",FALSE,FALSE,41.9–45.3
Pusan National University,39.2,39.1,45.1,86.6,37.8,master_account,0,South Korea,"17,195",16.9,10%,55:45:00,"General Engineering,Chemistry,Psychology,Medicine & Dentistry,Sport Science,Geography,Art, Performing Arts & Design,Other Health,Communication & Media Studies,Business & Management,Electrical & Electronic Engineering,Biological Sciences,Accounting & Finance,Computer Science,Agriculture & Forestry,Economics & Econometrics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Physics & Astronomy,Education,Architecture,Mathematics & Statistics,Law",FALSE,FALSE,41.9–45.3
Universiti Putra Malaysia,36,30.5,51.2,64.9,80.7,master_account,0,Malaysia,"19,001",11.3,27%,65:35:00,"Chemistry,Geography,Languages, Literature & Linguistics,Chemical Engineering,Architecture,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Sociology,Art, Performing Arts & Design,Archaeology,Veterinary Science,Electrical & Electronic Engineering,Business & Management,Biological Sciences,Economics & Econometrics,Civil Engineering,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Medicine & Dentistry,Psychology,General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Sport Science,Education,Mathematics & Statistics,Computer Science,Physics & Astronomy",FALSE,FALSE,41.9–45.3
Rovira i Virgili University,27.4,24.3,68.1,49.7,58.9,master_account,0,Spain,"13,656",13.3,13%,60:40:00,"Biological Sciences,Psychology,Business & Management,Agriculture & Forestry,Education,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Other Health,Physics & Astronomy,Architecture,Accounting & Finance,Medicine & Dentistry,Geography,Mechanical & Aerospace Engineering,Sport Science,Chemical Engineering,Languages, Literature & Linguistics,Law,Chemistry,Economics & Econometrics,Archaeology,Mathematics & Statistics,Computer Science",FALSE,FALSE,41.9–45.3
Rush University,41.3,14.2,78,56,28.9,master_account,0,United States,"2,848",2.1,1%,76:24:00,"Other Health,Biological Sciences,Medicine & Dentistry",FALSE,FALSE,41.9–45.3
University of Salerno,21.9,24.4,79.2,52.4,37.4,master_account,0,Italy,"26,142",26.5,2%,55:45:00,"Computer Science,Physics & Astronomy,Archaeology,Mechanical & Aerospace Engineering,Psychology,Other Health,Communication & Media Studies,Sociology,Architecture,Biological Sciences,Education,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Civil Engineering,Law,Medicine & Dentistry,Sport Science,Accounting & Finance,History, Philosophy & Theology,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Economics & Econometrics",FALSE,FALSE,41.9–45.3
Sciences Po,32.4,25.6,60.1,17.2,84.6,master_account,0,France,"12,445",42.6,32%,63:37:00,"Economics & Econometrics,Politics & International Studies (incl Development Studies),Sociology,Law,History, Philosophy & Theology",FALSE,FALSE,41.9–45.3
Shanghai University,31.8,38,62.7,71.3,42.9,master_account,0,China,"38,015",13,6%,51:49:00,"Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Computer Science,Art, Performing Arts & Design,Chemical Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Electrical & Electronic Engineering,Architecture,Accounting & Finance,Law,Civil Engineering,Sociology,General Engineering,Chemistry,Physics & Astronomy,Communication & Media Studies,Archaeology,Sport Science,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Business & Management",FALSE,FALSE,41.9–45.3
Shiraz University of Technology,37,22.8,77.7,32.6,33.7,master_account,0,Iran,"1,372",12.9,0%,39 : 61,"Mechanical & Aerospace Engineering,Chemistry,Chemical Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,General Engineering,Computer Science,Electrical & Electronic Engineering",FALSE,FALSE,41.9–45.3
Shoolini University of Biotechnology and Management Sciences,27.6,17.9,85.2,17.7,70,master_account,0,India,"3,251",15.3,1%,47:53:00,"Biological Sciences,Computer Science,Agriculture & Forestry,Education,Economics & Econometrics,Business & Management,Sociology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),General Engineering,Communication & Media Studies,Chemistry,History, Philosophy & Theology,Accounting & Finance,Physics & Astronomy,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law,Civil Engineering,Other Health,Electrical & Electronic Engineering,Psychology",FALSE,FALSE,41.9–45.3
University of Siena,25,25.6,75.9,74.9,48.7,master_account,0,Italy,"13,115",18.1,10%,63:37:00,"Electrical & Electronic Engineering,Geography,Archaeology,Biological Sciences,Business & Management,Other Health,Physics & Astronomy,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Education,Medicine & Dentistry,Communication & Media Studies,General Engineering,Sociology,Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,History, Philosophy & Theology,Agriculture & Forestry,Law",FALSE,FALSE,41.9–45.3
"Soochow University, China",27.7,24.3,79.8,75.6,30.6,master_account,11,China,"47,295",15.8,3%,52:48:00,"Computer Science,Physics & Astronomy,Architecture,Sport Science,Law,General Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Biological Sciences,Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Psychology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Electrical & Electronic Engineering,Chemistry,Economics & Econometrics,Medicine & Dentistry,Communication & Media Studies,Other Health,Mathematics & Statistics,Accounting & Finance",FALSE,FALSE,41.9–45.3
Southern Cross University,23.5,27.7,65.4,52.8,73.7,master_account,0,Australia,"10,381",48.7,23%,66:34:00,"Accounting & Finance,Biological Sciences,Law,Mechanical & Aerospace Engineering,Computer Science,Other Health,Sport Science,Communication & Media Studies,Education,Civil Engineering,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Art, Performing Arts & Design,Psychology,Business & Management",FALSE,FALSE,41.9–45.3
University of the Sunshine Coast,20.9,27.7,70.2,37.3,69.1,master_account,0,Australia,"11,542",29.8,13%,69:31:00,"Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Business & Management,General Engineering,Geography,Medicine & Dentistry,Veterinary Science,Law,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Computer Science,Sociology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Communication & Media Studies,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Economics & Econometrics,History, Philosophy & Theology,Sport Science,Accounting & Finance,Electrical & Electronic Engineering,Education",FALSE,FALSE,41.9–45.3
University of Tabriz,26.7,23.4,80.1,43.1,40.8,master_account,0,Iran,"20,177",26.7,4%,52:48:00,"Medicine & Dentistry,Veterinary Science,Business & Management,Languages, Literature & Linguistics,Civil Engineering,Sociology,General Engineering,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Archaeology,Biological Sciences,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Geography,Electrical & Electronic Engineering,Chemistry,Law,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Other Health,Sport Science,Psychology,Computer Science,Mathematics & Statistics,Education",FALSE,FALSE,41.9–45.3
Tabriz University of Medical Sciences,43,15.1,73.1,29.9,30.2,master_account,0,Iran,"8,065",9.3,2%,54:46:00,"Medicine & Dentistry,Other Health",FALSE,FALSE,41.9–45.3
Taif University,18.3,17.8,84.1,20.9,75.6,master_account,0,Saudi Arabia,"36,059",19.4,3%,55:45:00,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Other Health,Chemistry,Business & Management,Electrical & Electronic Engineering,Education,History, Philosophy & Theology,General Engineering,Sport Science,Economics & Econometrics,Agriculture & Forestry,Communication & Media Studies,Mechanical & Aerospace Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Archaeology,Biological Sciences,Sociology,Chemical Engineering,Law,Medicine & Dentistry,Veterinary Science,Psychology",FALSE,FALSE,41.9–45.3
The University of Texas at San Antonio,21,22.5,79.2,63.6,42.8,public,0,United States,"28,469",26.4,3%,52:48:00,"Chemical Engineering,Sociology,Other Health,Physics & Astronomy,Education,Computer Science,Communication & Media Studies,Architecture,Civil Engineering,Chemistry,Languages, Literature & Linguistics,Agriculture & Forestry,Law,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geography,General Engineering,Sport Science,Psychology,Biological Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management",FALSE,FALSE,41.9–45.3
Tomsk State University,49.2,40,31.8,53.8,79.1,master_account,0,Russian Federation,"7,930",11.6,37%,,"Sociology,Education,Sport Science,Business & Management,Medicine & Dentistry,Civil Engineering,Communication & Media Studies,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemistry,Law,Biological Sciences,History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Other Health,Languages, Literature & Linguistics,Chemical Engineering,Geography,Agriculture & Forestry",FALSE,FALSE,41.9–45.3
University of Trieste,31.9,25.1,74.2,52.3,52,master_account,0,Italy,"17,196",26,7%,57:43:00,"General Engineering,Geography,History, Philosophy & Theology,Chemical Engineering,Law,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Architecture,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Biological Sciences,Education,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology,Chemistry,Economics & Econometrics,Civil Engineering,Sociology,Other Health,Physics & Astronomy,Psychology",FALSE,FALSE,41.9–45.3
TU Braunschweig,34.5,24,61.5,77,60.6,master_account,0,Germany,"18,384",19.6,18%,41:59:00,"Agriculture & Forestry,Psychology,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Accounting & Finance,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Computer Science,Sociology,Economics & Econometrics,Mathematics & Statistics,Civil Engineering,Business & Management,Architecture,Other Health,Education,Chemical Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,General Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering",FALSE,FALSE,41.9–45.3
The University of Tulsa,36.1,17.2,71.9,52.9,44.6,private,0,United States,"4,110",10.8,9%,49:51:00,"Communication & Media Studies,Accounting & Finance,Chemical Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Other Health,Sport Science,Economics & Econometrics,Mechanical & Aerospace Engineering,Law,Psychology,Computer Science,Mathematics & Statistics,General Engineering,Biological Sciences,Education,Electrical & Electronic Engineering,Chemistry,History, Philosophy & Theology,Physics & Astronomy,Business & Management",FALSE,FALSE,41.9–45.3
UiT The Arctic University of Norway,27.7,22.1,68.8,54,65.6,master_account,0,Norway,"15,114",10.6,8%,57:43:00,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Business & Management,Medicine & Dentistry,Sport Science,Psychology,Other Health,Biological Sciences,Geography,Computer Science,Mathematics & Statistics,Education,General Engineering,Veterinary Science,Law,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Civil Engineering,Sociology",FALSE,FALSE,41.9–45.3
University of Ulsan,29.4,26.6,69,86.6,25.2,master_account,0,South Korea,"12,223",10.8,4%,48:52:00,"Languages, Literature & Linguistics,Sociology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Education,Electrical & Electronic Engineering,Economics & Econometrics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Accounting & Finance,Architecture,Mathematics & Statistics,Art, Performing Arts & Design,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Biological Sciences,Physics & Astronomy,Medicine & Dentistry,Business & Management,Sport Science,Computer Science,Civil Engineering,Law",FALSE,FALSE,41.9–45.3
University of Valencia,28.9,25.6,75.7,58.2,49.2,master_account,0,Spain,"49,165",13.7,9%,60:40:00,"Agriculture & Forestry,Geography,Other Health,Sport Science,Economics & Econometrics,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Physics & Astronomy,Chemical Engineering,Education,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Law,Art, Performing Arts & Design,Biological Sciences,Sociology,Architecture,Communication & Media Studies,Accounting & Finance",FALSE,FALSE,41.9–45.3
Wayne State University,36.4,20.4,70.2,79.3,41.8,public,0,United States,"22,523",13,5%,61:39:00,"Electrical & Electronic Engineering,Communication & Media Studies,History, Philosophy & Theology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Education,Medicine & Dentistry,Physics & Astronomy,Business & Management,Computer Science,Sociology,Mechanical & Aerospace Engineering,Chemistry,Other Health,Sport Science,Psychology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Architecture,General Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics",FALSE,FALSE,41.9–45.3
University of the West of England,19.5,15,82.6,30.2,78.6,master_account,0,United Kingdom,"26,890",15.9,25%,52:48:00,"History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,Mathematics & Statistics,Psychology,Mechanical & Aerospace Engineering,Law,Biological Sciences,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,Communication & Media Studies,Computer Science,Geography,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Civil Engineering,Economics & Econometrics,General Engineering,Sociology",FALSE,FALSE,41.9–45.3
University of Windsor,28.7,29.8,56.7,60.7,90.8,master_account,0,Canada,"14,849",34.1,35%,,"Civil Engineering,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Sport Science,Business & Management,Other Health,Economics & Econometrics,Chemistry,Architecture,General Engineering,Agriculture & Forestry,Law,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Communication & Media Studies,Education,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Physics & Astronomy",FALSE,FALSE,41.9–45.3
University of Wuppertal,29.8,29.8,67.3,64.6,55,master_account,0,Germany,"14,699",35.4,10%,54:46:00,"Business & Management,Civil Engineering,Education,History, Philosophy & Theology,Computer Science,Physics & Astronomy,General Engineering,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Psychology,Electrical & Electronic Engineering,Sociology,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Geography,Chemistry,Mathematics & Statistics,Sport Science,Economics & Econometrics,Languages, Literature & Linguistics",FALSE,FALSE,41.9–45.3
Yangzhou University,32.8,24.6,64.9,66.7,54,master_account,0,China,"29,221",12.5,13%,63:37:00,"Agriculture & Forestry,Education,Art, Performing Arts & Design,Biological Sciences,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,General Engineering,Law,Architecture,Veterinary Science,Accounting & Finance,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Sport Science,Psychology,Other Health,Sociology,Chemical Engineering,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,41.9–45.3
Abdul Wali Khan University Mardan,18.4,12.6,80.4,21.8,49,master_account,0,Pakistan,"11,681",22.8,0%,26 : 74,"Sport Science,Geology, Environmental, Earth & Marine Sciences,Education,Psychology,Agriculture & Forestry,Biological Sciences,Business & Management,Mathematics & Statistics,Other Health,Veterinary Science,History, Philosophy & Theology,Computer Science,Languages, Literature & Linguistics,Chemistry,Archaeology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Law,Economics & Econometrics,Accounting & Finance,Communication & Media Studies,Architecture,Sociology",FALSE,FALSE,37.0–41.8
Air University,24.2,12.5,81.5,39.5,48.7,master_account,0,Pakistan,"7,806",12.8,0%,34 : 66,"Education,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Psychology,Accounting & Finance,Other Health,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,General Engineering,Computer Science",FALSE,FALSE,37.0–41.8
The University of Aizu,26.6,13.8,58.6,63.7,82.6,master_account,0,Japan,"1,221",11.5,12%,0.520138889,Computer Science,FALSE,FALSE,37.0–41.8
The University of Alabama,26,21.2,64.4,46.6,39.3,public,0,United States,"34,810",21.6,4%,57:43:00,"Civil Engineering,Chemistry,Economics & Econometrics,Accounting & Finance,Biological Sciences,Sport Science,Languages, Literature & Linguistics,Computer Science,Psychology,History, Philosophy & Theology,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Sociology,Other Health,Geography,Physics & Astronomy,Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Law,Mathematics & Statistics",FALSE,FALSE,37.0–41.8
Alagappa University,34.8,12.8,64.8,23.2,44.4,master_account,0,India,"5,020",15.8,0%,62:38:00,"Art, Performing Arts & Design,Economics & Econometrics,Languages, Literature & Linguistics,Sociology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Business & Management,Biological Sciences,Physics & Astronomy,Computer Science,History, Philosophy & Theology,Mathematics & Statistics,Chemistry,Psychology,Education,Sport Science",FALSE,FALSE,37.0–41.8
Aligarh Muslim University,41.1,14,61.6,34.3,38.2,master_account,0,India,"20,428",12,1%,40 : 60,"Geography,Accounting & Finance,Sport Science,Psychology,History, Philosophy & Theology,Chemistry,Biological Sciences,Electrical & Electronic Engineering,Architecture,Politics & International Studies (incl Development Studies),Law,Mechanical & Aerospace Engineering,Chemical Engineering,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Education,Medicine & Dentistry,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sociology,Communication & Media Studies,Physics & Astronomy,Business & Management,Mathematics & Statistics,Computer Science,Other Health",FALSE,FALSE,37.0–41.8
Amedeo Avogadro University of Eastern Piedmont,12.7,23.5,71.3,47.1,48.2,master_account,0,Italy,"14,981",40.8,7%,61:39:00,"Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,Chemistry,Medicine & Dentistry,Economics & Econometrics,Biological Sciences,Geography,Computer Science,Sociology,Law,Other Health,Accounting & Finance,Languages, Literature & Linguistics,Education",FALSE,FALSE,37.0–41.8
American University,35.2,17.1,57.2,38.5,46.5,private,0,United States,"12,771",12,12%,62:38:00,"Law,Other Health,Economics & Econometrics,Computer Science,Accounting & Finance,Medicine & Dentistry,Sociology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Education,Sport Science,Psychology,Biological Sciences",FALSE,FALSE,37.0–41.8
American University of Sharjah,24.5,26.3,57.9,27.9,88.6,master_account,1,United Arab Emirates,"4,737",12.5,74%,54:46:00,"Biological Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Economics & Econometrics,Chemical Engineering,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Electrical & Electronic Engineering,Chemistry,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Architecture,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies",FALSE,FALSE,37.0–41.8
